Set,color,num_critic_for_reviews,duration,gross,movie_title,num_voted_users,content_rating,budget,title_year,imdb_score,aspect_ratio,movies_made,english,num_genre,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Genre_Other,actor_1_n_movies,actor_2_n_movies,actor_3_n_movies,num_pop_actors
train,1,516,147,407197282,Captain America: Civil War ,272670,PG-13,250000000,2016,8.2,2.35,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,17,9,3
train,1,377,131,65173160,Battleship ,202382,PG-13,209000000,2012,5.9,2.35,6,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19,4,1,2
train,1,644,124,652177271,Jurassic World ,418214,PG-13,150000000,2015,7,2,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,23,2,1
train,1,300,135,373377893,Spider-Man 2 ,411164,PG-13,200000000,2004,7.3,2.35,9,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,29,24,18,3
train,1,608,195,408992272,Iron Man 3 ,557489,PG-13,200000000,2013,7.2,2.35,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,16,11,3
train,1,451,108,334185206,Alice in Wonderland ,306320,PG,200000000,2010,6.5,1.85,14,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,7,19,3
train,1,376,104,268488329,Monsters University ,235025,G,200000000,2013,7.3,1.85,1,1,5,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33,5,6,1
train,1,366,150,402076689,Transformers: Revenge of the Fallen ,323207,PG-13,200000000,2009,6,2.35,12,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,6,5,0
train,1,378,165,245428137,Transformers: Age of Extinction ,242420,PG-13,210000000,2014,5.7,2.35,12,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,5,0
train,1,525,130,234903076,Oz the Great and Powerful ,175409,PG,215000000,2013,6.4,2.35,9,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,24,3
train,1,495,142,202853933,The Amazing Spider-Man 2 ,321227,PG-13,200000000,2014,6.7,2.35,3,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13,4,3,2
train,1,469,125,172051787,TRON: Legacy ,264183,PG,170000000,2010,6.8,2.35,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,12,6,2
train,1,453,103,414984497,Toy Story 3 ,544884,G,200000000,2010,8.3,1.85,1,1,5,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,10,2,1
train,1,424,140,350034110,Furious 7 ,278232,PG-13,190000000,2015,7.2,2.35,7,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,14,14,3
train,1,654,123,202351611,World War Z ,465019,PG-13,190000000,2013,7,2.35,7,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,28,3,2
train,1,539,149,233914986,X-Men: Days of Future Past ,514125,PG-13,200000000,2014,8,2.35,7,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,14,11,17,3
train,1,590,132,228756232,Star Trek Into Darkness ,395573,PG-13,190000000,2013,7.8,2.35,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,14,1,1
train,1,338,114,65171860,Jack the Giant Slayer ,106416,PG-13,195000000,2013,6.3,2.35,7,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,0
train,1,306,116,90755643,Prince of Persia: The Sands of Time ,222403,PG-13,200000000,2010,6.6,2.35,5,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,18,2,1,1
train,1,575,131,101785482,Pacific Rim ,381148,PG-13,190000000,2013,7,1.85,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,12,2,1
train,1,428,154,352358779,Transformers: Dark of the Moon ,326180,PG-13,195000000,2011,6.3,2.35,12,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,6,0
train,1,470,122,317011114,Indiana Jones and the Kingdom of the Crystal Skull ,333847,PG-13,185000000,2008,6.2,2.35,24,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,9,7,1
train,1,298,93,123070338,The Good Dinosaur ,62836,PG,46043622.7856671,2015,6.8,2.35,1,1,5,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0
train,1,488,93,237282182,Brave ,273556,PG,185000000,2012,7.2,2.35,1,1,5,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,10,2,0
train,1,421,98,223806889,WALL·E ,718837,G,180000000,2008,8.4,2.35,3,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,11,5,0
train,1,162,91,140080850,Rush Hour 3 ,121084,PG-13,140000000,2007,6.2,2.35,7,1,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,1,0
train,1,367,158,166112167,2012 ,283418,PG-13,200000000,2009,5.8,2.35,7,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,2,3,0
train,1,240,96,137850096,A Christmas Carol ,72809,PG,200000000,2009,6.8,2.35,13,1,4,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,6,15,3
train,1,384,127,47375327,Jupiter Ascending ,139593,PG-13,176000000,2015,5.4,2.35,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,10,3,3
train,1,248,110,124051759,The Legend of Tarzan ,42372,PG-13,180000000,2016,6.6,2.35,1,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4,1,2
train,1,284,150,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,PG,180000000,2005,6.9,2.35,4,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0
train,1,486,126,318298180,Iron Man ,696338,PG-13,140000000,2008,7.9,2.35,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,20,16,3
train,1,682,126,73820094,Hugo ,245333,PG,170000000,2011,7.5,1.85,20,1,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,11,9,2
train,1,85,106,113745408,Wild Wild West ,129601,PG-13,170000000,1999,4.8,1.85,7,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,17,6,2
train,1,264,112,102176165,The Mummy: Tomb of the Dragon Emperor ,117927,PG-13,145000000,2008,5.2,2.35,9,1,5,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,8,13,1,2
train,1,418,123,161087183,Suicide Squad ,118992,PG-13,175000000,2016,6.9,2.35,6,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,2,4,1
train,1,186,96,100289690,Evan Almighty ,115099,PG,175000000,2007,5.4,2.35,7,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,36,20,3
train,1,585,113,100189501,Edge of Tomorrow ,431620,PG-13,178000000,2014,7.9,2.35,7,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,1,3,1
train,1,91,176,88246220,Waterworld ,144337,PG-13,175000000,1995,6.1,1.85,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,0
train,1,250,118,150167630,G.I. Joe: The Rise of Cobra ,174578,PG-13,175000000,2009,5.8,2.35,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18,20,2,1
train,1,453,124,312057433,Iron Man 2 ,522371,PG-13,200000000,2010,7,2.35,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,17,16,3
train,1,416,132,155111815,Snow White and the Huntsman ,228554,PG-13,170000000,2012,6.1,2.35,1,1,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,16,3,3
train,1,401,97,241407328,Maleficent ,252257,PG,180000000,2014,7,2.35,1,1,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,22,3,2,1
train,1,521,130,208543795,Dawn of the Planet of the Apes ,317542,PG-13,170000000,2014,7.6,1.85,3,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,23,2,1
train,1,218,128,38297305,47 Ronin ,116994,PG-13,175000000,2013,6.3,2.35,1,1,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,7,1,1
train,1,576,136,259746958,Captain America: The Winter Soldier ,496749,PG-13,170000000,2014,7.8,2.35,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,9,4,2
train,1,226,93,238371987,Shrek Forever After ,138661,PG,165000000,2010,6.4,2.35,4,1,5,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,5,1
train,1,443,130,93417865,Tomorrowland ,128306,PG,190000000,2015,6.5,2.2,5,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,23,5,1,0
train,1,384,102,222487711,Big Hero 6 ,279093,PG,165000000,2014,7.9,2.39,1,1,7,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,3,0
train,1,188,100,665426,The Polar Express ,120798,G,165000000,2004,6.6,2.35,13,1,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,2,1,1
train,1,286,120,102315545,Independence Day: Resurgence ,58137,PG-13,165000000,2016,5.5,2.35,7,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,7,4,0
train,1,653,121,333130696,Guardians of the Galaxy ,682155,PG-13,170000000,2014,8.1,2.35,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,14,12,3
train,1,712,169,187991439,Interstellar ,928227,PG-13,165000000,2014,8.6,2.35,8,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,19,2,3
train,1,642,148,292568851,Inception ,1468200,PG-13,160000000,2010,8.8,2.35,8,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18,6,18,3
train,1,645,182,303001229,The Hobbit: An Unexpected Journey ,637246,PG-13,180000000,2012,7.9,2.35,5,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1
train,1,187,106,144512310,The Fast and the Furious ,272223,PG-13,38000000,2001,6.7,2.35,9,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,14,4,3
train,1,362,166,127490802,The Curious Case of Benjamin Button ,459346,PG-13,150000000,2008,7.8,2.35,10,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,28,8,4,1
train,1,500,132,146405371,X-Men: First Class ,518537,PG-13,160000000,2011,7.8,2.35,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,7,18,2
train,1,389,137,281666058,The Hunger Games: Mockingjay - Part 2 ,166137,PG-13,160000000,2015,6.6,2.35,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,20,14,3
train,1,235,109,63143812,The Sorcerer's Apprentice ,124185,PG,150000000,2010,6.1,2.35,7,1,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,5,1,1
train,1,231,98,60655503,Poseidon ,82380,PG-13,160000000,2006,5.6,2.35,5,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,7,5,1
train,1,218,113,76846624,Alice Through the Looking Glass ,21352,PG,170000000,2016,6.4,1.85,3,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,7,19,3
train,1,227,93,320706665,Shrek the Third ,211971,PG,160000000,2007,6.1,1.85,2,1,5,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,8,5,1
train,1,275,123,46978995,Warcraft ,111609,PG-13,160000000,2016,7.3,2.35,2,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,1
train,1,474,126,89732035,Terminator Genisys ,188457,PG-13,155000000,2015,6.6,2.35,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,1,2,2
train,1,228,113,104383624,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,PG,155000000,2010,6.3,1.78,5,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
train,0,191,184,198539855,Pearl Harbor ,254111,PG-13,140000000,2001,6.1,2.35,12,1,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,12,5,8,1
train,1,396,144,318759914,Transformers ,513158,PG-13,150000000,2007,7.1,2.35,12,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6,6,0
train,1,318,102,227946274,Hancock ,343648,PG-13,150000000,2008,6.4,2.35,6,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,9,2
train,1,323,104,256386216,I Am Legend ,530870,PG-13,150000000,2007,7.2,2.35,5,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,19,5,2,1
train,1,276,115,206456431,Charlie and the Chocolate Factory ,320284,PG,150000000,2005,6.7,1.85,14,1,4,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,11,2,2
train,1,318,111,206435493,Ratatouille ,473887,G,150000000,2007,8,2.35,5,1,4,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8,0
train,1,478,128,205343774,Batman Begins ,980946,PG-13,150000000,2005,8.3,2.35,8,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,36,3
train,1,167,89,179982968,Madagascar: Escape 2 Africa ,146019,PG,150000000,2008,6.7,1.85,5,1,5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,10,0
train,1,185,105,177243721,Night at the Museum: Battle of the Smithsonian ,130272,PG,150000000,2009,5.9,2.35,11,1,4,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,5,12,2
train,1,350,119,179883016,X-Men Origins: Wolverine ,361924,PG-13,150000000,2009,6.7,2.35,3,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,17,13,1,2
train,1,406,102,400736600,Frozen ,421658,PG,150000000,2013,7.6,2.24,1,1,6,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,8,2,1,0
train,1,275,138,281492479,The Matrix Reloaded ,421818,R,150000000,2003,7.2,2.35,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
train,1,486,112,206360018,Thor: The Dark World ,414070,PG-13,170000000,2013,7.1,2.35,2,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,17,22,3
train,1,298,146,133375846,Angels & Demons ,207839,PG-13,150000000,2009,6.7,2.35,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,27,2,4,1
train,1,516,115,181015141,Thor ,536314,PG-13,150000000,2011,7,2.35,3,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,17,22,3
train,1,225,96,114053579,Bolt ,146766,PG,150000000,2008,6.9,1.85,1,1,5,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,1,1
train,1,145,88,119420252,G-Force ,33042,PG,150000000,2009,5.1,2.35,1,1,7,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1,1,0
train,1,310,99,83640426,Wrath of the Titans ,152826,PG-13,150000000,2012,5.8,1.85,5,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,1
train,1,526,113,79711678,Dark Shadows ,199039,PG-13,100000000,2012,6.2,1.85,14,1,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,30,15,11,3
train,1,357,119,61937495,The Wolfman ,89442,R,150000000,2010,5.8,1.85,4,1,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1
train,1,194,91,126597121,Bee Movie ,105902,PG,150000000,2007,6.2,1.85,1,1,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,13,0
train,1,284,90,165230261,Kung Fu Panda 2 ,182718,PG,150000000,2011,7.3,2.35,1,1,5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,1,2
train,1,280,103,131564731,The Last Airbender ,118951,PG,150000000,2010,4.2,2.35,9,1,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0
train,1,310,124,133382309,Mission: Impossible III ,256695,PG-13,150000000,2006,6.9,2.35,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,25,9,2
train,1,339,131,73103784,White House Down ,164238,PG-13,150000000,2013,6.4,2.35,7,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,4,4,1
train,1,132,88,21379315,Mars Needs Moms ,17590,PG,150000000,2011,5.4,2.35,2,1,6,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,5,0
train,1,256,111,34964818,Pan ,39956,PG,150000000,2015,5.8,2.35,2,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,2,2,1
train,1,196,92,111505642,Mr. Peabody & Sherman ,47900,PG,145000000,2014,6.9,1.85,4,1,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,2,1
train,1,220,196,133228348,Troy ,381672,R,175000000,2004,7.2,2.35,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,3,2
train,1,211,93,216366733,Madagascar 3: Europe's Most Wanted ,119213,PG,145000000,2012,6.9,1.85,5,1,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,10,0
train,1,464,116,118099659,Ghostbusters ,69757,PG-13,144000000,2016,5.5,2.35,4,1,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,2,0
train,1,167,153,201573391,Armageddon ,322395,PG-13,140000000,1998,6.6,2.35,12,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,35,33,8,2
train,1,208,88,190418803,Men in Black II ,270207,PG-13,140000000,2002,6.1,1.85,7,1,7,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,19,17,13,2
train,1,287,115,82161969,Beowulf ,142440,PG-13,150000000,2007,6.3,2.35,13,1,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,22,1,2
train,1,432,133,209364921,Mission: Impossible - Ghost Protocol ,365104,PG-13,145000000,2011,7.4,2.35,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,9,1,2
train,1,256,97,103400692,Rise of the Guardians ,123553,PG,145000000,2012,7.3,1.85,1,1,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2,1
train,1,135,90,110332737,Fun with Dick and Jane ,110788,PG-13,100000000,2005,6.1,2.35,4,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,0
train,1,190,154,111110575,The Last Samurai ,317166,R,140000000,2003,7.7,2.35,6,1,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25,9,3,1
train,1,291,121,403706375,Spider-Man ,544665,PG-13,139000000,2002,7.3,1.85,9,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,29,24,18,3
train,1,292,102,176997107,How to Train Your Dragon 2 ,221128,PG,145000000,2014,7.9,2.35,3,1,6,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,12,7,2
train,1,145,121,31704416,Stealth ,45455,PG-13,135000000,2005,5,2.35,9,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12,9,6,0
train,1,451,215,107503316,Watchmen ,392474,R,130000000,2009,7.7,2.35,7,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,6,2,0
train,1,141,127,129734803,Lethal Weapon 4 ,127497,R,140000000,1998,6.6,2.35,8,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,1,1
train,1,267,138,132122995,Hulk ,212106,PG-13,137000000,2003,5.7,1.85,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,4,0
