color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Color,Lana Wachowski,245,129,0,233,Collin Chou,309,139259759,Action|Sci-Fi,Essie Davis,The Matrix Revolutions ,364948,1062,Nona Gaye,0,battle|epic|fight|future|machine,2121,English,Australia,R,150000000,2003,269,2.35,0
Color,Chris Buck,406,102,69,490,Maurice LaMarche,1000,400736600,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,Frozen ,421658,2582,Livvy Stubenrauch,0,magic|sister love|sister sister relationship|snow|snowman,904,English,USA,PG,150000000,2013,523,2.24,58000
Color,Rob Minkoff,196,92,50,517,Zach Callison,3000,111505642,Adventure|Animation|Comedy|Family|Sci-Fi,Ty Burrell,Mr. Peabody & Sherman ,47900,5810,Karan Brar,2,dog|father son relationship|inventor|talking dog|time travel,130,English,USA,PG,145000000,2014,1000,1.85,11000
Color,Dean DeBlois,292,102,255,953,Djimon Hounsou,18000,176997107,Action|Adventure|Animation|Comedy|Family|Fantasy,Gerard Butler,How to Train Your Dragon 2 ,221128,23378,America Ferrera,5,dragon|father son relationship|husband wife relationship|mother son relationship|viking,343,English,USA,PG,145000000,2014,3000,2.35,46000
Color,Darren Aronofsky,434,138,0,8000,Emma Watson,12000,101160529,Action|Adventure|Drama,Anthony Hopkins,Noah ,200022,32355,Logan Lerman,2,ark|flood|noah's ark|water|wrath of god,1240,English,USA,PG-13,125000000,2014,9000,1.85,71000
Color,Alfonso Cuarón,274,142,0,10000,Gary Oldman,11000,249358727,Adventure|Family|Fantasy|Mystery,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,382255,33284,Rupert Grint,3,magic|muggle|serial killer|traitor|wizard,1504,English,UK,PG,130000000,2004,10000,2.35,11000
Color,Ron Howard,294,174,2000,362,Seth Gabel,15000,217536138,Mystery|Thriller,Tom Hanks,The Da Vinci Code ,314253,16008,Jürgen Prochnow,2,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,1966,English,USA,PG-13,125000000,2006,574,2.35,0
Color,Neill Blomkamp,476,109,662,1000,Sharlto Copley,13000,93050117,Action|Drama|Sci-Fi|Thriller,Matt Damon,Elysium ,338087,17689,Alice Braga,0,christ figure|class differences|messiah|saviour|social commentary,814,English,USA,R,115000000,2013,2000,2.35,61000
Color,David Twohy,207,134,123,567,Alexa Davalos,14000,57637485,Action|Adventure|Sci-Fi|Thriller,Vin Diesel,The Chronicles of Riddick ,183909,17159,Christina Cox,0,bounty hunter|escape|necromonger|planet|warrior,666,English,USA,PG-13,105000000,2004,850,2.35,0
Color,Roger Donaldson,93,108,79,268,Grant Heslov,650,67155742,Action|Adventure|Thriller,Jamie Renée Smith,Dante's Peak ,62271,1569,Tzi Ma,1,ash|escape|lava|mayor|volcano,277,English,USA,PG-13,116000000,1997,293,2.35,0
Color,Brad Peyton,358,114,62,884,Ioan Gruffudd,12000,155181732,Action|Adventure|Drama|Thriller,Dwayne Johnson,San Andreas ,147497,16718,Archie Panjabi,0,disaster movie|earthquake|journey|natural disaster|san andreas fault,499,English,USA,PG-13,110000000,2015,2000,2.35,52000
Color,Roland Emmerich,192,142,776,1000,Adam Baldwin,13000,113330342,Action|Drama|History|War,Heath Ledger,The Patriot ,207613,19454,Tom Wilkinson,1,american revolution|british|french|hero|standoff,1144,English,USA,R,110000000,2000,2000,2.35,4000
Color,Michel Gondry,447,119,1000,741,Tom Wilkinson,11000,98780042,Action|Comedy|Crime|Sci-Fi|Thriller,Christoph Waltz,The Green Hornet ,136019,13391,Chad L. Coleman,0,heir|kung fu|party|playboy|superhero,443,English,USA,PG-13,120000000,2011,1000,2.35,14000
Color,Will Finn,104,76,6,421,Roseanne Barr,12000,50026353,Animation|Comedy|Family|Music|Western,Steve Buscemi,Home on the Range ,13581,13607,G.W. Bailey,0,cattle|cow|dairy farm|farm|rustler,88,English,USA,PG,110000000,2004,513,1.78,304
Color,Robert Schwentke,181,120,124,943,Theo James,6000,66002193,Action|Adventure|Mystery|Sci-Fi|Thriller,Naomi Watts,Allegiant ,44296,12452,Zoë Kravitz,3,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,144,English,USA,PG-13,110000000,2016,5000,2.35,12000
Color,Ridley Scott,265,171,0,695,Connie Nielsen,3000,187670866,Action|Drama|Romance,Djimon Hounsou,Gladiator ,982637,6521,Oliver Reed,0,battlefield|blood|combat|gladiator|roman empire,2368,English,USA,R,103000000,2000,933,2.35,21000
Color,Steven Spielberg,252,145,14000,533,Frank Grillo,10000,132014112,Action|Mystery|Sci-Fi|Thriller,Tom Cruise,Minority Report ,399651,12546,Jessica Capshaw,0,future|murder|neo noir|washington d.c.|year 2054,1331,English,USA,PG-13,102000000,2002,798,2.35,0
Color,Paul Weitz,180,98,80,708,Blythe Danner,22000,148383780,Comedy|Romance,Robert De Niro,Little Fockers ,85531,24082,Teri Polo,10,birthday|critically bashed|male nurse|nurse|suspicion,152,English,USA,PG-13,100000000,2010,713,1.85,0
Color,Quentin Tarantino,765,165,16000,265,Christoph Waltz,29000,162804648,Drama|Western,Leonardo DiCaprio,Django Unchained ,955174,40978,Ato Essandoh,1,dynamite|historically inaccurate|ku klux klan|n word|slavery,1193,English,USA,R,100000000,2012,11000,2.35,199000
Color,Paul Verhoeven,192,129,719,423,Patrick Muldoon,660,54700065,Action|Sci-Fi|War,Jake Busey,Starship Troopers ,221521,2031,Seth Gilliam,0,alien|federation|future|military|planet,1049,English,USA,R,105000000,1997,475,1.85,0
Color,Martin Scorsese,233,216,17000,1000,Liam Neeson,29000,77679638,Crime|Drama,Leonardo DiCaprio,Gangs of New York ,314033,47657,Jim Broadbent,3,butcher|civil war|gangster|new york city|revenge,1166,English,USA,R,100000000,2002,14000,2.35,0
Color,Simon West,199,100,165,240,Noah Taylor,11000,131144183,Action|Adventure|Fantasy|Thriller,Angelina Jolie Pitt,Lara Croft: Tomb Raider ,157016,12150,Chris Barrie,1,illuminati|planetary alignment|time|tomb|tomb raider,824,English,USA,PG-13,115000000,2001,509,2.35,0
Color,Chris Columbus,217,118,0,1000,Rosario Dawson,8000,88761720,Adventure|Family|Fantasy,Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief ,141179,14024,Steve Coogan,0,greek|lightning|lightning bolt|poseidon|teenager,419,English,UK,PG,95000000,2010,3000,2.35,9000
Color,Robert Zemeckis,185,130,0,568,Amber Valletta,11000,155370362,Drama|Fantasy|Horror|Mystery|Thriller,Harrison Ford,What Lies Beneath ,98403,12890,Miranda Otto,0,ghost|haunted house|research|secret|vermont,683,English,USA,PG-13,100000000,2000,627,2.35,0
Color,Carlos Saldanha,188,94,107,117,Maile Flanagan,835,196573705,Action|Adventure|Animation|Comedy|Family,Denis Leary,Ice Age: Dawn of the Dinosaurs ,166791,1258,Kelly Keaton,0,egg|lost world|rescue|squirrel|weasel,132,English,USA,PG,90000000,2009,256,1.85,0
Color,Bryan Singer,269,121,0,919,Tom Wilkinson,10000,83077470,Drama|History|Thriller|War,Tom Cruise,Valkyrie ,183247,14165,Thomas Kretschmann,0,american actor playing foreigner|assassination|conspiracy|military|nazis,440,English,USA,PG-13,75000000,2008,1000,1.85,0
Color,Tony Scott,81,140,12000,619,Jake Busey,10000,111544445,Action|Crime|Drama|Mystery|Thriller,Will Smith,Enemy of the State ,188116,11951,Lisa Bonet,4,congressman|lawyer|nsa|on the run|surveillance,415,English,USA,R,90000000,1998,660,2.35,0
Color,Raja Gosnell,138,86,67,271,Linda Cardellini,4000,153288182,Adventure|Comedy|Mystery,Sarah Michelle Gellar,Scooby-Doo ,71424,6355,Miguel A. Núñez Jr.,3,amusement park|island|motorcycle|scooby doo|tough girl,521,English,USA,PG,84000000,2002,2000,1.85,0
Color,Brad Peyton,91,82,62,615,Sean Hayes,975,43575716,Action|Comedy|Family|Fantasy,Jack McBrayer,Cats & Dogs: The Revenge of Kitty Galore ,10233,3326,Katt Williams,0,cartoon on tv|cat|dog|kitty|special agent,63,English,USA,PG,85000000,2010,760,1.85,0
Color,Mimi Leder,125,120,75,3000,Jon Favreau,11000,140459099,Action|Drama|Romance|Sci-Fi|Thriller,Morgan Freeman,Deep Impact ,135601,22750,Robert Duvall,0,astronomer|comet|mission|president|secretary,493,English,USA,PG-13,75000000,1998,4000,2.35,0
Color,Seth Gordon,141,88,91,982,Robert Duvall,4000,120136047,Comedy|Drama|Romance,Jon Favreau,Four Christmases ,48500,9913,Katy Mixon,2,airport|christmas|news broadcast|tv broadcast|tv news,124,English,Germany,PG-13,80000000,2008,3000,1.85,0
Color,Dennis Dugan,204,117,221,503,Bailee Madison,11000,103028109,Comedy|Romance,Adam Sandler,Just Go with It ,172878,16325,Kevin Nealon,1,chick flick|hawaii|love|plastic surgeon|woman wearing a string bikini,203,English,USA,PG-13,80000000,2011,3000,1.85,19000
Color,Les Mayfield,53,90,10,159,Jodi Benson,49000,92969824,Comedy|Family|Sci-Fi,Robin Williams,Flubber ,63625,50005,Sam Lloyd,1,college|flubber|flying rubber|professor|wedding,64,English,USA,PG,80000000,1997,570,1.85,0
Color,Rob Cohen,61,114,357,366,Viggo Mortensen,13000,32885565,Action|Adventure|Drama|Thriller,Sylvester Stallone,Daylight ,53132,25126,Amy Brenneman,0,collapsing tunnel|explosion|new jersey|tunnel|weimaraner,101,English,USA,PG-13,80000000,1996,10000,1.85,0
Color,George Miller,61,97,750,231,Elizabeth Daily,1000,18318000,Adventure|Comedy|Drama|Family|Fantasy,Adam Goldberg,Babe: Pig in the City ,24868,2521,Glenne Headly,0,animal|farm|farmer|hotel|pig,216,English,Australia,G,80000000,1998,971,1.85,964
Color,Paul W.S. Anderson,272,105,545,74,Currie Graham,795,23219748,Action|Adventure|Drama|History|Romance,Sasha Roiz,Pompeii ,84508,1099,Dylan Schombing,0,arena|lava bomb|mount vesuvius|pompeii|slave,308,English,Canada,PG-13,80000000,2014,172,2.35,20000
Color,Dennis Dugan,179,102,221,4000,Adam Sandler,12000,162001186,Comedy,Steve Buscemi,Grown Ups ,181443,28497,Salma Hayek,4,basketball|coach|daughter|high school|high school basketball,311,English,USA,PG-13,80000000,2010,11000,1.85,12000
Color,David Pastor,130,84,10,394,Kiernan Shipka,3000,90820,Drama|Horror|Sci-Fi|Thriller,Christopher Meloni,Carriers ,35510,4368,Lou Taylor Pucci,0,beach|disease|latex gloves|pandemic|virus,119,English,USA,PG-13,NA,2009,552,2.35,0
Color,Barry Levinson,108,134,272,215,James Pickens Jr.,548,36976367,Drama|Mystery|Sci-Fi|Thriller,Peter Coyote,Sphere ,81611,1044,Huey Lewis,3,manifestation|ocean|spacecraft|spaceship|sphere,274,English,USA,PG-13,75000000,1998,270,2.35,0
Color,Adam McKay,164,122,285,989,Leslie Bibb,8000,148213377,Action|Comedy|Sport,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby ,130776,12410,Gary Cole,5,car racing|french|friend|nascar|racing,437,English,USA,PG-13,73000000,2006,1000,2.35,0
Color,Betty Thomas,73,85,84,595,Raven-Symoné,1000,144156464,Comedy|Family|Fantasy,Oliver Platt,Doctor Dolittle ,74343,4166,Peter Boyle,0,box office hit|doctor|dog|first part|tiger,98,English,USA,PG-13,71500000,1998,1000,1.85,694
Color,Rob Cohen,191,132,357,212,Eve,14000,141204016,Action|Adventure|Thriller,Vin Diesel,xXx ,142569,14790,Leila Arcieri,0,agent|nsa|nsa agent|prague|russian,737,English,USA,PG-13,70000000,2002,223,2.35,10000
Color,M. Night Shyamalan,284,110,0,559,Freddy Rodríguez,3000,42272747,Drama|Fantasy|Mystery|Thriller,Bryce Dallas Howard,Lady in the Water ,78635,5609,Bob Balaban,1,apartment|bedtime story|eagle|stuttering|swimming pool,1040,English,USA,PG-13,70000000,2006,579,1.85,0
Color,Antoine Fuqua,358,119,845,992,Morgan Freeman,18000,98895417,Action|Thriller,Gerard Butler,Olympus Has Fallen ,203154,31782,Radha Mitchell,3,political thriller|politics|president|speaker of the house|u.s. president,698,English,USA,R,70000000,2013,11000,2.35,45000
Black and White,Steven Spielberg,388,146,14000,979,Benedict Cumberbatch,25000,79883359,Drama|War,Jeremy Irvine,War Horse ,116159,46726,Eddie Marsan,1,barbed wire|british|cavalry|horse|world war one,488,English,USA,PG-13,66000000,2011,19000,2.35,28000
Color,Ron Howard,185,111,2000,244,Clint Howard,17000,48430355,Comedy|Drama,Channing Tatum,The Dilemma ,43709,18510,Chelcie Ross,2,best friend|friend|investigation|secret|two word title,141,English,USA,PG-13,70000000,2011,1000,2.35,0
Color,Seth MacFarlane,280,125,3000,3000,Morgan Freeman,14000,81257500,Comedy,Liam Neeson,Ted 2 ,117739,30010,Seth MacFarlane,0,baby|f word|fight|lawyer|marriage,229,English,USA,R,68000000,2015,11000,2.35,30000
Color,Alejandro Amenábar,180,141,448,334,Ashraf Barhom,614,617840,Adventure|Drama|History|Romance,Max Minghella,Agora ,52496,1829,Rupert Evans,2,christian|love|philosophy|prefect|slave,172,English,Spain,R,70000000,2009,451,2.35,29000
Color,Jay Roach,190,114,116,982,Stephanie Szostak,7000,72980108,Comedy,Steve Carell,Dinner for Schmucks ,80338,10419,Bruce Greenwood,2,dinner|diorama|idiot|irs|mouse,264,English,USA,PG-13,NA,2010,1000,1.85,0
Color,Michael Lembeck,80,104,54,775,Aisha Tyler,901,139225854,Comedy|Family|Fantasy,Judge Reinhold,The Santa Clause 2 ,34561,5265,Eric Lloyd,0,christmas|magic|santa claus|son|toy,116,English,USA,G,60000000,2002,857,1.85,1000
Black and White,Clint Eastwood,169,130,16000,416,Courtney B. Vance,16000,90454043,Action|Adventure|Thriller,Clint Eastwood,Space Cowboys ,60165,17771,William Devane,1,nasa|old age|satellite|space|space shuttle,326,English,USA,PG-13,65000000,2000,495,2.35,0
Color,John Woo,72,108,610,461,Samantha Mathis,848,70450000,Action|Crime|Thriller,Delroy Lindo,Broken Arrow ,77390,2913,Bob Gunton,2,captain|desert|major|park ranger|utah,189,English,USA,R,50000000,1996,517,2.35,0
Color,Mike Nichols,117,143,0,210,Adrian Lester,509,38966057,Comedy|Drama,Maura Tierney,Primary Colors ,23940,1409,Paul Guilfoyle,0,campaigning|candidate|election|governor|president,157,English,France,R,65000000,1998,317,2.35,688
Color,Paul W.S. Anderson,239,96,545,974,Boris Kodjoe,14000,42345531,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Retribution ,104831,17913,Bingbing Li,0,corporation|fight|rescue|umbrella|zombie,423,English,Germany,R,65000000,2012,1000,2.35,32000
Color,NA,14,60,NA,575,James Nesbitt,1000,NA,Crime|Drama|Mystery,Jason Flemyng,The Missing ,8739,3537,Frances O'Connor,0,france|journalist|limp|police detective|reporter,28,English,UK,NA,NA,NA,773,NA,0
Color,Stuart Beattie,308,92,72,568,Kevin Grevioux,623,19059018,Action|Fantasy|Sci-Fi|Thriller,Caitlin Stasey,"I, Frankenstein ",65709,3165,Miranda Otto,0,army|creature|demon|frankenstein|gargoyle,194,English,Australia,PG-13,65000000,2014,593,2.35,15000
Color,Rob Bowman,196,100,38,1000,Cary-Hiroyuki Tagawa,3000,24407944,Action|Crime|Fantasy|Thriller,Jennifer Garner,Elektra ,71202,7048,Goran Visnjic,0,assassin|battle|heroine|martial arts|spin off,380,English,Canada,PG-13,43000000,2005,1000,2.35,0
Color,Demian Lichtenstein,113,125,11,867,Bokeem Woodbine,11000,15738632,Action|Comedy|Crime|Thriller,Jon Lovitz,3000 Miles to Graceland ,38076,14536,Ice-T,2,casino|elvis impersonator|gun|heist|rascal,399,English,USA,R,42000000,2001,904,2.35,0
Color,Quentin Tarantino,596,187,16000,1000,Jennifer Jason Leigh,46000,54116191,Crime|Drama|Mystery|Thriller|Western,Craig Stark,The Hateful Eight ,272839,49912,Zoë Bell,1,blizzard|blood vomiting|bounty hunter|murder|shot in the crotch,1018,English,USA,R,44000000,2015,1000,2.76,114000
Color,Lawrence Guterman,105,87,6,405,Elizabeth Perkins,3000,93375151,Action|Comedy|Family|Fantasy,Carol Ann Susi,Cats & Dogs ,46031,4171,Miriam Margolyes,0,cartoon on tv|cat|dog|scientist|secret agent,235,English,USA,PG,60000000,2001,664,1.85,0
Color,Renny Harlin,199,105,212,811,Michael Rapaport,1000,73648142,Action|Sci-Fi|Thriller,LL Cool J,Deep Blue Sea ,99043,3697,Saffron Burrows,1,alzheimer's disease|experiment|human versus shark|research|underwater headquarters,643,English,USA,R,60000000,1999,975,2.35,0
Color,Steven Zaillian,110,115,234,521,Kathleen Quinlan,3000,56702901,Drama,Robert Duvall,A Civil Action ,23302,4713,Sydney Pollack,1,1980s|law firm|lawsuit|lawyer|toxic waste,181,English,USA,PG-13,60000000,1998,552,2.35,1000
Color,Sam Fell,118,93,18,903,Matthew Broderick,9000,50818750,Adventure|Animation|Comedy|Family|Fantasy,Emma Watson,The Tale of Despereaux ,31209,13403,Frank Langella,0,book|darkness|dungeon|princess|rat,106,English,UK,G,60000000,2008,2000,2.35,0
Color,Antoine Fuqua,198,124,845,295,Ned Beatty,650,46975183,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,Shooter ,256213,1640,Louis Ferreira,0,colonel|ethiopia|marksman|on the run|rangefinder,338,English,USA,R,61000000,2007,467,2.35,0
Color,Joe Wright,210,117,456,569,Stephen Root,21000,31670931,Biography|Drama|Music,Robert Downey Jr.,The Soloist ,44099,23745,Rachael Harris,0,columnist|journalist|los angeles times|musician|wearing a traffic cone as a hat,143,English,UK,PG-13,60000000,2009,939,2.35,0
Color,Brian De Palma,240,121,0,854,Mia Kirshner,19000,22518325,Crime|Drama|Mystery|Thriller,Scarlett Johansson,The Black Dahlia ,63363,22833,Mike Starr,0,black dahlia|boxer|corpse|death|partner,644,English,Germany,R,50000000,2006,972,2.35,0
Color,Frank Miller,223,103,436,437,Jaime King,19000,19781879,Action|Crime|Fantasy|Thriller,Scarlett Johansson,The Spirit ,53864,20881,Louis Lombardi,1,female star appears nude|pants falling down|samurai|white rat|woman in a towel,290,English,USA,PG-13,60000000,2008,961,2.35,2000
Black and White,John Dahl,81,132,131,242,Clayne Crawford,11000,10166502,Action|Drama|War,James Franco,The Great Raid ,18209,12133,Paolo Montalban,0,american|lieutenant colonel|mission|rescue|soldier,183,Filipino,USA,R,80000000,2005,298,2.35,0
Color,Mark Waters,189,94,70,497,Ophelia Lovibond,1000,68218041,Comedy|Family|Fantasy,Madeline Carroll,Mr. Popper's Penguins ,67191,2820,Philip Baker Hall,1,father|penguin|snowglobe|son|winter,108,English,USA,PG,55000000,2011,549,1.85,14000
Color,Jon Turteltaub,100,126,226,241,Maura Tierney,12000,34098563,Drama|Thriller,Anthony Hopkins,Instinct ,27191,13406,John Ashton,1,africa|anthropologist|murder|poacher|psychiatrist,232,English,USA,R,55000000,1999,509,2.35,0
Color,Bobby Farrelly,123,118,101,327,Terence Bernie Hines,13000,33828318,Comedy,Matt Damon,Stuck on You ,44453,14036,Seymour Cassel,2,actor|conjoined twins|cook|internet|short order cook,154,English,USA,PG-13,55000000,2003,390,2.35,0
Color,Robert Butler,44,100,0,745,Lauren Holly,995,11466088,Action|Thriller,Hector Elizondo,Turbulence ,8983,3952,Jeffrey DeMunn,0,airplane|christmas|marshal|pilot|u.s. marshal,84,English,USA,R,71000000,1997,879,2.35,316
Color,Guillermo del Toro,224,117,0,845,Thomas Kretschmann,12000,81645152,Action|Horror|Sci-Fi|Thriller,Norman Reedus,Blade II ,158267,15371,Tony Curran,1,blade the character|cult film|mutation|vampire|warrior,559,English,USA,R,54000000,2002,919,1.85,0
Color,Martin Brest,131,121,102,43,Lenny Venito,117,5660084,Comedy|Crime|Romance,Todd Giebenhain,Gigli ,41620,286,David Backus,0,gangster|hospital|lesbian|mob|thug,418,English,USA,R,54000000,2003,62,2.35,2000
Color,Kathryn Bigelow,558,157,0,304,Harold Perrineau,1000,95720716,Drama|History|Thriller,Jennifer Ehle,Zero Dark Thirty ,216032,2759,Parker Sawyers,0,al qaeda|cia|interrogation|lie|navy seal,640,English,USA,R,40000000,2012,1000,1.85,39000
Color,Donald Petrie,140,116,80,651,Adam Goldberg,11000,105807520,Comedy|Romance,Matthew McConaughey,How to Lose a Guy in 10 Days ,156717,14087,Thomas Lennon,2,advertising executive|diamond|magazine|party|wager,357,English,USA,PG-13,50000000,2003,1000,1.85,0
Color,Frank Marshall,55,109,155,293,Joe Don Baker,426,81022333,Action|Adventure|Mystery|Sci-Fi,Dylan Walsh,Congo ,34471,1761,Grant Heslov,0,captain|congo|expedition|laser|lost city,147,English,USA,PG-13,50000000,1995,387,1.85,0
Color,Alex Proyas,279,121,295,329,Ben Mendelsohn,12000,79948113,Drama|Mystery|Sci-Fi|Thriller,Nicolas Cage,Knowing ,186879,13421,Chandler Canterbury,0,disaster|end of the world|number|student|time capsule,791,English,USA,PG-13,50000000,2009,748,2.35,0
Color,Angela Robinson,117,101,23,541,Thomas Lennon,660,66002004,Adventure|Comedy|Family|Fantasy|Romance|Sport,Scoot McNairy,Herbie Fully Loaded ,36431,2177,Cheryl Hines,1,automobile racing|car|mechanic|nascar|street racing,168,English,USA,G,50000000,2005,651,1.85,1000
Color,Gary Fleder,113,113,39,477,Jennifer Esposito,1000,54997476,Crime|Drama|Mystery|Thriller,Oliver Platt,Don't Say a Word ,40362,3341,Conrad Goode,0,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,248,English,USA,R,50000000,2001,912,2.35,970
Color,Tommy Wirkola,349,98,75,467,Derek Mears,10000,55682070,Action|Fantasy|Horror,Jeremy Renner,Hansel & Gretel: Witch Hunters ,159868,11946,Ingrid Bolsø Berdal,2,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,304,English,Germany,R,50000000,2013,520,2.35,45000
Color,James McTeigue,235,99,160,72,Ben Miles,330,38105077,Action|Crime|Thriller,Shô Kosugi,Ninja Assassin ,58349,701,Rain,0,critically bashed|kung fu|martial artist|martial arts|ninja,194,English,USA,R,40000000,2009,119,2.35,0
Color,NA,14,105,NA,5,Bruce Alexander,325,NA,Crime|Drama|Mystery,David Jason,A Touch of Frost ,4438,344,John Lyons,1,cult tv|death|detective inspector|four word title|internal affairs,33,English,UK,NA,NA,NA,7,1.33,361
Color,Clint Eastwood,315,129,16000,447,Jay Mohr,13000,32741596,Drama|Fantasy,Matt Damon,Hereafter ,80140,14344,Cécile De France,0,death|france|near death experience|tsunami|twin brother,323,English,USA,PG-13,50000000,2010,563,2.35,16000
Color,John McTiernan,131,98,323,511,Harry Connick Jr.,933,26536120,Action|Crime|Drama|Mystery|Thriller,Connie Nielsen,Basic ,49926,3357,Tim Daly,0,2000s|army|military crime|necklace yanked off|panama,286,English,Germany,R,50000000,2003,631,2.35,0
Color,David Cronenberg,356,96,0,509,Naomi Watts,10000,17114882,Crime|Mystery|Thriller,Viggo Mortensen,Eastern Promises ,189249,17211,Raza Jaffrey,1,male pubic hair|pubic hair|russian|sex scene|turkish bath,398,English,USA,R,25000000,2007,6000,1.85,0
Color,Luc Besson,111,158,0,15,David Bailie,51,14131298,Adventure|Biography|Drama|History|War,Paul Brooke,The Messenger: The Story of Joan of Arc ,55889,144,Rab Affleck,0,cathedral|dauphin|france|trial|wartime rape,390,English,France,R,390000000,1999,40,2.35,0
Color,David Gordon Green,208,102,234,11000,Zooey Deschanel,20000,21557240,Adventure|Comedy|Fantasy,Natalie Portman,Your Highness ,85237,45202,James Franco,3,knight|prince|quest|rescue|thong bikini,274,English,USA,R,49900000,2011,11000,2.35,18000
Color,Costa-Gavras,59,115,333,317,Blythe Danner,972,10556196,Crime|Drama|Thriller,Mia Kirshner,Mad City ,16562,2606,William Atherton,2,hostage|museum|natural history museum|news reporter|reporter,73,English,USA,PG-13,50000000,1997,713,2.35,697
Color,Ben Stiller,226,102,0,1000,Will Ferrell,14000,28837115,Comedy,Milla Jovovich,Zoolander 2 ,34964,24107,Justin Theroux,4,chosen one|fashion|fashion model|model|retired,150,English,USA,PG-13,50000000,2016,8000,2.35,28000
Color,Andrzej Bartkowiak,103,96,43,77,Robin Shou,841,8742261,Action|Crime|Drama|Mystery|Thriller,Chris Klein,Street Fighter: The Legend of Chun-Li ,19824,1385,Josie Ho,2,chun li|crime fighter|gangster|mobster|rescue,179,English,Canada,PG-13,18000000,2009,342,2.35,0
